Aktie,P/E,P/S,Vinst/aktie,Substans/aktie,Utdelning/aktie,Direktavkastning,Kurs/JEK,Vinst/JEK
JLT Mobile Computers AB,14.81,0.99,0.25,1.68,0.15,3.75,2.38,0.15
JonDeTech Sensors AB,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
K2A Knaust & Andersson Fastigheter Pref,0.00,0.00,0.00,337.63,20.00,6.78,0.87,0.00
Kakel Max AB,13.29,0.50,1.23,10.85,0.00,0.00,1.51,0.11
Kallebäck Property Invest AB,12.95,8.09,11.58,97.18,10.00,6.67,1.54,0.12
Kambi Group Plc,878.10,9.00,1.95,15.23,0.00,0.00,12.11,0.13
Kancera AB,-3.16,0.00,-0.37,0.25,0.00,0.00,4.67,-1.48
Kancera AB BTU,-2.92,0.00,-0.37,0.25,0.00,0.00,4.32,-1.48
Karessa Pharma Holding AB,-3.28,113.00,-1.28,18.88,0.00,0.00,0.24,-0.07
Karlbergsvägen 77 Fastighets AB Pref,0.00,0.00,0.00,12.98,0.00,0.00,4.12,0.00
Kentima Holding AB,14.00,1.54,-0.01,0.74,0.00,0.00,2.84,-0.01
Klaria Pharma Holding AB,-23.08,100.00,-0.39,4.99,0.00,0.00,1.80,-0.08
Kontigo Care AB,-6.02,7.65,-0.81,0.77,0.00,0.00,4.77,-1.05
Kopy Goldfields AB,-8.74,37.12,-0.17,1.38,0.00,0.00,1.08,-0.12
Lauritz.com Group A/S,8.33,0.24,-0.68,1.14,0.00,0.00,1.32,-0.60
Leading Edge Materials Corp.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
LIDDS AB,-51.06,240.71,-0.43,6.07,0.00,0.00,2.78,-0.07
LightLab Sweden AB ser. B,-2.45,3.68,-1.53,6.38,0.00,0.00,0.59,-0.24
Link Prop Investment AB,18.52,5.43,5.94,88.67,8.00,7.27,1.24,0.07
Liv ihop AB,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Logistea AB,-38.55,31.18,-2.75,95.51,5.64,5.32,1.11,-0.03
Loudspring Plc,-214.29,1 500.00,-0.64,9.36,0.00,0.00,1.60,-0.07
Lyko Group AB ser. A,-14.60,0.76,-4.00,21.88,0.00,0.00,2.67,-0.18
Mackmyra Svensk Whisky AB B,-21.51,2.65,-0.95,8.96,0.00,0.00,2.06,-0.11
MAG Interactive AB,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Maha Energy AB,-194.00,8.22,-0.40,4.13,0.00,0.00,2.35,-0.10
Maha Energy TO 2 A,-12.47,4.23,-0.40,4.13,0.00,0.00,1.21,-0.10
Mangold AB,28.56,1.92,26.21,176.81,5.24,0.89,3.34,0.15
Mantex AB,-1.92,6.08,-2.09,1.39,0.00,0.00,2.88,-1.50
Matra Petroleum AB,-24.00,2.45,-1.51,4.50,0.00,0.00,1.07,-0.34
Mavshack AB,-6.50,2.17,-0.05,0.14,0.00,0.00,1.86,-0.36
MaxFastigheter i Sverige AB,8.93,4.39,3.25,38.04,1.16,4.08,0.75,0.09
Medical Prognosis Institute A/S,-7.09,18.00,-1.68,0.13,0.00,0.00,69.23,-12.92
MediRätt AB,-18.39,116.50,-0.38,0.94,0.00,0.00,7.44,-0.40
Midsummer AB,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Minesto AB,-89.00,18.54,-0.10,3.13,0.00,0.00,2.84,-0.03
Minesto TO 2,-36.00,7.50,-0.10,3.13,0.00,0.00,1.15,-0.03
Misen Energy AB,-0.34,5.36,-3.95,0.06,0.00,0.00,22.33,-65.83
Modern Ekonomi Sverige Holding AB,-15.00,0.45,-0.10,0.89,0.00,0.00,3.71,-0.11
Moment Group AB,14.91,0.33,1.53,10.16,0.46,1.94,2.33,0.15
MoxieTech Group AB,117.25,0.31,0.30,1.15,0.14,2.99,4.08,0.26
myFC Holding AB,-1.93,38.91,-1.81,2.94,0.00,0.00,1.19,-0.62
myFC Holding AB BTA,-1.79,36.04,-1.81,2.94,0.00,0.00,1.10,-0.62
myTaste AB,-7.59,1.50,-0.55,1.31,0.00,0.00,2.66,-0.42
NattoPharma ASA,7.76,2.69,1.27,6.14,0.00,0.00,1.60,0.21
Nepa AB,-24.74,2.34,-2.87,7.00,0.00,0.00,10.14,-0.41
Net Gaming Europe AB,37.63,3.64,0.10,0.94,0.00,0.00,10.81,0.11
NetJobs Group AB,-6.25,0.69,-0.14,0.26,0.00,0.00,4.81,-0.54
Netmore Group AB BTU B,0.00,0.00,-1.91,2.31,0.00,0.00,0.00,-0.83
Netmore Group AB ser. B,-0.42,1.06,-1.91,2.31,0.00,0.00,0.34,-0.83
Netmore Group TO1 B,-0.01,0.01,-1.91,2.31,0.00,0.00,0.00,-0.83
New Nordic Healthbrands AB,18.87,1.26,3.28,9.82,1.15,1.64,7.13,0.33
Nexam Chemical Holding AB,-95.78,26.94,-0.09,2.77,0.00,0.00,3.11,-0.03
Nexstim Oyj,-29.70,0.00,-0.78,0.58,0.00,0.00,4.10,-1.34
Nicoccino Holding AB,-13.07,536.00,-0.41,1.28,0.00,0.00,4.19,-0.32
Nilsson Special Vehicles AB,-4.05,0.21,-3.21,12.78,0.00,0.00,0.92,-0.25
Nitro Games Oyj,-21.07,3.98,-23.04,13.76,0.00,0.00,3.57,-1.67
Nordic Flanges Group AB,-4.52,0.37,-0.31,1.52,0.00,0.00,0.92,-0.20
Nordic Leisure AB,242.22,5.33,0.78,4.29,0.00,0.00,5.08,0.18
Nuevolution AB,-6.02,5.87,-0.59,3.97,0.00,0.00,4.16,-0.15
Oboya Horticulture Industries AB ser. B,40.08,0.49,0.24,6.16,0.00,0.00,1.56,0.04
Online Brands Nordic AB,-7.58,0.31,-0.04,0.08,0.00,0.00,4.74,-0.50
OrganoClick AB,-15.56,5.19,-0.39,0.43,0.00,0.00,13.02,-0.91
Ovzon AB,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Pallas Group AB,2.33,0.23,0.24,1.50,0.00,0.00,0.37,0.16
Papilly AB,-0.20,4.52,-0.91,-0.17,0.00,0.00,-1.06,5.35
Papilly AB BTA,-0.13,2.93,-0.91,-0.17,0.00,0.00,-0.69,5.35
Paradox Interactive AB,56.81,24.02,2.51,5.68,1.00,0.54,32.61,0.44
Paxman AB,-40.91,8.85,-0.66,2.82,0.00,0.00,9.57,-0.23
Pegroco Invest AB Pref,0.00,0.00,0.00,14.68,9.50,7.85,8.24,0.00
Pharmacolog i Uppsala AB BTA B 1,-1.82,14.29,-3.30,2.73,0.00,0.00,2.20,-1.21
Pharmacolog i Uppsala AB BTA B 2,0.00,0.00,-3.30,2.73,0.00,0.00,0.00,-1.21
Pharmacolog i Uppsala AB ser. B,-2.40,14.14,-3.30,2.73,0.00,0.00,2.18,-1.21
Photocat A/S,-4.08,3.63,-2.93,5.09,0.00,0.00,1.91,-0.58
PiezoMotor Uppsala AB,-46.90,25.73,-1.27,0.80,0.00,0.00,66.25,-1.59
PledPharma AB,-7.42,49.82,-1.81,6.24,0.00,0.00,2.24,-0.29
Polygiene AB,-38.40,2.05,-0.26,1.75,0.00,0.00,4.39,-0.15
Polyplank AB,-1.19,0.18,-0.14,0.02,0.00,0.00,5.95,-7.00
Polyplank AB BTU,-0.73,0.15,-0.14,0.02,0.00,0.00,5.12,-7.00
PowerCell Sweden AB,-18.76,33.32,-1.38,3.65,0.00,0.00,6.94,-0.38
Precio Fishbone AB ser. B,17.29,1.06,1.19,10.34,1.20,5.22,2.22,0.12
Precomp Solutions AB ser. B,-2.96,0.11,-0.67,1.35,0.00,0.00,1.25,-0.50
Prime Living AB,12.02,13.68,8.04,52.36,4.25,8.93,0.91,0.15
Prime Living AB Pref,0.00,0.00,0.00,52.36,4.25,4.21,1.93,0.00
Promore Pharma AB,-36.67,20.00,-0.42,3.24,0.00,0.00,4.75,-0.13
Promore Pharma TO 2017/2019,-1.67,0.91,-0.42,3.24,0.00,0.00,0.22,-0.13
Quartiers Properties AB,16.86,24.00,0.37,7.10,0.00,0.00,0.88,0.05
Quartiers Properties AB Pref,0.00,0.00,0.00,7.10,0.96,9.80,1.38,0.00
